,Start Year,Start Month,Start Day,End Year,End Month,End Day,Location,Total Affected,start_date,end_date
65,2011,9,,2011,12,,An Giang,600000.0,2011-09-01,2011-12-30
66,2011,9,,2011,12,,Dong Thap,461584.0,2011-09-01,2011-12-30
67,2011,9,,2011,12,,Long An,17540.0,2011-09-01,2011-12-30
68,2011,9,,2011,12,,Can Tho city,,2011-09-01,2011-12-30
69,2011,9,,2011,12,,Vinh Long,1000.0,2011-09-01,2011-12-30
70,2011,9,,2011,12,,Hau Giang,5000.0,2011-09-01,2011-12-30
71,2011,9,,2011,12,,Kien Giang provinces,,2011-09-01,2011-12-30
72,2013,9,16.0,2013,9,18.0,Dak Lak,25000.0,2013-09-16,2013-09-18
73,2013,9,16.0,2013,9,18.0,Quang Tri,2130001.0,2013-09-16,2013-09-18
74,2013,9,16.0,2013,9,18.0,Quang Ngai,15000.0,2013-09-16,2013-09-18
75,2013,9,16.0,2013,9,18.0,Quang Nam,100.0,2013-09-16,2013-09-18
76,2013,9,16.0,2013,9,18.0,Kon Tum provinces,509.0,2013-09-16,2013-09-18
77,2016,10,9.0,2016,10,16.0,Quang Binh (Minh Hoa,659615.0,2016-10-09,2016-10-16
78,2016,10,9.0,2016,10,16.0,Tuyen Hoa),562121.0,2016-10-09,2016-10-16
79,2016,10,9.0,2016,10,16.0,Ha Tinh (Huong Khe),206340.0,2016-10-09,2016-10-16
80,2016,10,9.0,2016,10,16.0,Nghe An,4161.0,2016-10-09,2016-10-16
81,2016,10,9.0,2016,10,16.0,Quang Tri (Vinh Linh,4104.0,2016-10-09,2016-10-16
82,2016,10,9.0,2016,10,16.0,Hai Lang,400.0,2016-10-09,2016-10-16
83,2016,10,9.0,2016,10,16.0,Trieu Phong),40038.0,2016-10-09,2016-10-16
84,2016,10,9.0,2016,10,16.0,Thua Thien Hue provinces,41500.0,2016-10-09,2016-10-16
85,2018,6,23.0,2018,6,27.0,Lai Chau,16728.0,2018-06-23,2018-06-27
86,2018,8,29.0,2018,9,5.0,Northern provinces,6000.0,2018-08-29,2018-09-05
87,2018,12,8.0,2018,12,10.0,Thanh Hoa,105000.0,2018-12-08,2018-12-10
88,2018,12,8.0,2018,12,10.0,Binh Dinh,265.0,2018-12-08,2018-12-10
89,2018,12,8.0,2018,12,10.0,Nghe An,500.0,2018-12-08,2018-12-10
90,2018,12,8.0,2018,12,10.0,Quang Tri,26255.0,2018-12-08,2018-12-10
91,2018,12,8.0,2018,12,10.0,Quang Ngai,61540.0,2018-12-08,2018-12-10
92,2018,12,8.0,2018,12,10.0,Quang Nam,36450.0,2018-12-08,2018-12-10
93,2018,12,8.0,2018,12,10.0,Da Nang,2621.0,2018-12-08,2018-12-10
94,2021,9,23.0,2021,9,27.0,Northern and central regions,13603.0,2021-09-23,2021-09-27
95,2021,11,27.0,2021,11,30.0,Quang Nam,300000.0,2021-11-27,2021-11-30
96,2021,11,27.0,2021,11,30.0,Quang Ngai,180.0,2021-11-27,2021-11-30
97,2021,11,27.0,2021,11,30.0,Binh Dinh,226.0,2021-11-27,2021-11-30
98,2021,11,27.0,2021,11,30.0,Dak Lak,2554.0,2021-11-27,2021-11-30
99,2021,11,27.0,2021,11,30.0,Kon Tum,10000.0,2021-11-27,2021-11-30
100,2021,11,27.0,2021,11,30.0,Phu Yen Provinces,10495.0,2021-11-27,2021-11-30
101,2022,8,14.0,2022,8,16.0,Dak Lak,,2022-08-14,2022-08-16
